VideoID,Description
arpan01,there is many desks and benches in the classroom
arpan01,desks and benches are in the classroom
arpan01,the classroom is empty
arpan01,there is an empty classroom with desks and benches
arpan02,two man are talking to each other
arpan02,a man is talking to another man
arpan02,two person are chatting with each other
arpan02,there are two people talking to each other
arpan02,one man is chatting to another man
arpan03,a man is teaching 
arpan03,a man is writing on the board
arpan03,a teacher is writing something on the board
arpan03,a man is teaching another man
arpan03,a person is teaching
arpan04,a man is making projector
arpan04,a man is fixing projector
arpan04,a person is standing and using projector
arpan04,there is a man fixing projector
arpan05,a person is writing something
arpan05,there is a man studying
arpan05,students are studying
arpan05,a person is writing something in a copy
arpan05,a man is writing in a copy
arpan06,students are stuyding in a class
arpan06,a teacher is teaching and students are studying
arpan06,a group of students are studying
arpan06,students are sitting in the class
arpan06,there are a group of students studying in a class
arpan07,there are a group of people 
arpan07,a group of people are talking to each other
arpan07,a group of people are chatting to each other 
arpan07,a group of people are discussing
arpan07,people are sitting and studying
arpan08,two people are handshaking
arpan08,two friends are shaking their hand
arpan08,two people are talking to each other
arpan08,a man is talking to another woman
arpan08,two people are chatting and handshaking
arpan11,a girl is eating
arpan11,a women is eating something
arpan11,there is a girl eating
arpan11,a girl is chewing her food
arpan11,a girl is chewing and eating
arpan12,a man is walking in a crowd
arpan12,a group of people are walking
arpan12,people are walking
arpan12,a person is walking
arpan12,there are people walking in front of a temple
arpan13,a girl is walking in a crowd
arpan13,a group of people are walking in front of a temple
arpan13,a women is walking
arpan13,a person is walking
arpan13,Peple are walking
arpan14,people are walking in a corridor
arpan14,group of people are in a corridor
arpan14,people are walking
arpan14,a man is walking in a corridor
arpan15,people are using their laptop
arpan15,a man is working in his laptop
arpan15,people are studying in their laptop
arpan15,a group of people are using laptop
arpan15,there are people working in front of laptop
arpan16,people are using their laptop
arpan16,people are studying in their laptop
arpan16,a group of people are using laptop
arpan16,there are people studying in a class
arpan17,people are using their laptop
arpan17,people are studying in their laptop
arpan17,a group of people are using laptop
arpan17,there are people studying in a class
arpan17,group of people are working in the laptop
arpan18,group of people are eating food
arpan18,there are people having snacks
arpan18,people are talking to each other and eating
arpan18,people are eating food
arpan18,group of people are talking to each other
arpan19,there are a group of people 
arpan19,a group of people are talking to each other
arpan19,a group of people are chatting to each other 
arpan19,people are talking to each other
arpan19,group of people are discussing
arpan20,a man is teaching in the class
arpan20,there is a teacher teaching
arpan20,a man is presenting
arpan20,a person is presenting in a class
arpan20,a person is giving a presentation
bijay01,a girl is eating a food
bijay01, a girl is having a food
bijay01, a girl is sitting and eating something
bijay01,a lady is having a lunch
bijay01,a lady is sitting and eating
bijay02,a woman is presenting in the class
bijay02,a woman is giving a presentation
bijay02,a woman is teaching in a class
bijay02,a person is giving a lecture
bijay02,students are being taught in a class
bijay03,a boy is smiling
bijay03,a boy is smiling and eating
bijay03,a boy is eating someting
bijay03,a boy is eating a food
bijay03,a boy is having a food
bijay04,a group of people are talking to each other
bijay04,a group of people are standing
bijay04,people are standing and talking to each other
bijay04,a group of people are having a converstation
bijay04,man and a woman are talking
bijay05,a man is teaching in a class
bijay05,a man is giving a lecture
bijay05,a man is presenting on a class
bijay05,a man is giving a presentation
bijay05,a teacher is teaching
bijay06,a man is playing a skating
bijay06,a boy is skating
bijay06,there is a boy skating
bijay06,a person is playing
bijay07,a group of people are watching a  tv
bijay07,people are sitting
bijay07,there are people sitting on a chair
bijay07,people are sitting and watching a tv
bijay08,a group of people are watching a  tv
bijay08,people are sitting
bijay08,there are people sitting on a chair
bijay08,people are sitting and watching a tv
bijay09,there is a people watching a television
bijay09,people are talking to each other
bijay09,people aer sitting on a chair
bijay09,people are sitting and watching a tv
bijay10,a group of boys are standing on a classs
bijay10,students are standing
bijay10,there are boys standing and singing
bijay10,boys are singing on a class
bijay10,a group of students are singing
bijay11,two person are walking toward you
bijay11,there are two person walking 
bijay11,a person is approaching you
bijay11,a person is coming toward you
bijay11,people are coming toward you
bijay12,two people are dancing with each other
bijay12,two boys are dancing  with each other
bijay12,a couple is dancing
bijay12,two people are dancing and fighting
bijay12,there are two people dancing
bijay13,two people are in a scooter
bijay13,a man is riding a scooter
bijay13,a person is riding a bike
bijay13,a scooter is running
bijay13,a man is comming toward you
bijay14,people are waiting in a queue
bijay14,group of people are standing in a line
bijay14,many people are standing in a queue
bijay14,there are a lot of people waiting in a line
abijay14,there are two queue of people standing
